timestamp,source_path,target_path,action,batch_id,status,error_reason
2026-06-18T00:15:06.391725,./temp_inbox\SUP001_acceptance_2026.pdf,./archive\SUP001\BATCH_20260618_001506_388216\SUP001_acceptance_2026.pdf,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.393209,./temp_inbox\SUP001_invoice_2026.pdf,./archive\SUP001\BATCH_20260618_001506_388216\SUP001_invoice_2026.pdf,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.395723,./temp_inbox\SUP002_contract_2026.pdf,./archive\SUP002\BATCH_20260618_001506_388216\SUP002_contract_2026.pdf,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.397244,./temp_inbox\SUP002_invoice_2026.pdf,./archive\SUP002\BATCH_20260618_001506_388216\SUP002_invoice_2026.pdf,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.399441,./temp_inbox\SUP003_quotation_2026.xlsx,./archive\SUP003\BATCH_20260618_001506_388216\SUP003_quotation_2026.xlsx,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.403772,./temp_inbox\SUP004_delivery_note.jpg,./archive\SUP004\BATCH_20260618_001506_388216\SUP004_delivery_note.jpg,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.407737,./temp_inbox\SUP005_invoice_2026.ofd,./archive\SUP005\BATCH_20260618_001506_388216\SUP005_invoice_2026.ofd,move,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:06.410023,./temp_inbox\no_code_file.txt,,skip,BATCH_20260618_001506_388216,fail,Extension .txt not in active set (disabled or not enabled)
2026-06-18T00:15:06.410655,./temp_inbox\unknown_document.pdf,,skip,BATCH_20260618_001506_388216,fail,Cannot parse supplier code from filename: unknown_document.pdf
2026-06-18T00:15:36.229500,./archive\SUP001\BATCH_20260618_001506_388216\SUP001_acceptance_2026.pdf,./temp_inbox\SUP001_acceptance_2026.pdf,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.230036,./archive\SUP001\BATCH_20260618_001506_388216\SUP001_invoice_2026.pdf,./temp_inbox\SUP001_invoice_2026.pdf,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.230539,./archive\SUP002\BATCH_20260618_001506_388216\SUP002_contract_2026.pdf,./temp_inbox\SUP002_contract_2026.pdf,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.230947,./archive\SUP002\BATCH_20260618_001506_388216\SUP002_invoice_2026.pdf,./temp_inbox\SUP002_invoice_2026.pdf,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.231568,./archive\SUP003\BATCH_20260618_001506_388216\SUP003_quotation_2026.xlsx,./temp_inbox\SUP003_quotation_2026.xlsx,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.235070,./archive\SUP004\BATCH_20260618_001506_388216\SUP004_delivery_note.jpg,./temp_inbox\SUP004_delivery_note.jpg,rollback,BATCH_20260618_001506_388216,success,
2026-06-18T00:15:36.235871,./archive\SUP005\BATCH_20260618_001506_388216\SUP005_invoice_2026.ofd,./temp_inbox\SUP005_invoice_2026.ofd,rollback,BATCH_20260618_001506_388216,success,
